127.0.0.1 - - [24/Jan/2022:13:23:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:23:44 +0900] "GET /project/index.html HTTP/1.1" 200 14439
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:23:44 +0900] "GET /project/images/pic01.jpg HTTP/1.1" 200 10064
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:23:44 +0900] "GET /project/assets/css/main.css HTTP/1.1" 200 34459
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:23:44 +0900] "GET /project/assets/js/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:23:44 +0900] "GET /project/assets/js/browser.min.js HTTP/1.1" 200 1851
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:23:44 +0900] "GET /project/assets/js/breakpoints.min.js HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:23:44 +0900] "GET /project/assets/css/fontawesome-all.min.css HTTP/1.1" 200 56172
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:23:44 +0900] "GET /project/images/pic02.jpg HTTP/1.1" 200 8904
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:23:44 +0900] "GET /project/assets/js/main.js HTTP/1.1" 200 8401
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:23:44 +0900] "GET /project/images/pic03.jpg HTTP/1.1" 200 9697
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:23:44 +0900] "GET /project/assets/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:23:44 +0900] "GET /project/images/overlay.png HTTP/1.1" 200 4385
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:23:44 +0900] "GET /project/images/bg.jpg HTTP/1.1" 200 37864
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:23:44 +0900] "GET /project/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 75440
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:23:44 +0900] "GET /project/assets/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 74508
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:23:44 +0900] "GET /project/assets/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13580
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:23:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:35:01 +0900] "GET /project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:35:01 +0900] "GET /project/images/pic01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:35:01 +0900] "GET /project/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:35:01 +0900] "GET /project/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:35:01 +0900] "GET /project/assets/js/browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:35:01 +0900] "GET /project/images/pic02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:35:01 +0900] "GET /project/assets/js/breakpoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:35:01 +0900] "GET /project/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:35:01 +0900] "GET /project/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:35:01 +0900] "GET /project/assets/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:35:01 +0900] "GET /project/images/pic03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:35:01 +0900] "GET /project/images/overlay.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:35:01 +0900] "GET /project/images/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:35:01 +0900] "GET /project/assets/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:35:01 +0900] "GET /project/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:35:01 +0900] "GET /project/assets/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:37:51 +0900] "GET /project/assets/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:37:51 +0900] "GET /project/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:40:31 +0900] "GET /project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:40:31 +0900] "GET /project/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:40:31 +0900] "GET /project/images/pic01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:40:31 +0900] "GET /project/assets/js/browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:40:31 +0900] "GET /project/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:40:31 +0900] "GET /project/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:40:31 +0900] "GET /project/images/pic02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:40:31 +0900] "GET /project/assets/js/breakpoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:40:31 +0900] "GET /project/assets/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:40:31 +0900] "GET /project/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:40:31 +0900] "GET /project/images/pic03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:40:31 +0900] "GET /project/images/overlay.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:40:31 +0900] "GET /project/images/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:40:31 +0900] "GET /project/assets/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:40:31 +0900] "GET /project/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:40:31 +0900] "GET /project/assets/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:40:35 +0900] "GET /project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:44:48 +0900] "GET /project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:44:48 +0900] "GET /project/images/pic01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:44:48 +0900] "GET /project/assets/css/main.css HTTP/1.1" 200 34460
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:44:48 +0900] "GET /project/assets/js/browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:44:48 +0900] "GET /project/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:44:48 +0900] "GET /project/assets/js/breakpoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2022:13:44:48 +0900] "GET /project/assets/js/util.js HTTP/1.1" 304 -
